1,ボスとろけるカフェオレ,ボスとろけるカフェオレ,コーヒー,140
2,小岩井ミルクコーヒー,小岩井ミルクコーヒー,コーヒー,220
3,ダイドーブレンド微糖,ダイドーブレンド微糖,コーヒー,170
4,ダイドーブレンドラテ,ダイドーブレンドラテ,コーヒー,150
5,ダイドーブレンドミルクコーヒー,ダイドーブレンドミルクコーヒー,コーヒー,220
6,ファンタグレープ,ファンタグレープ,炭酸飲料,200
7,オランジーナ,オランジーナ,炭酸飲料,170
8,三ツ矢ピーチ,三ツ矢ピーチ,炭酸飲料,220
9,コカコーラ,コカコーラ,炭酸飲料,190
10,カナダドライジンジャーエール,カナダドライジンジャーエール,炭酸飲料,150
11,爽健美茶,爽健美茶,お茶,190
12,生茶,生茶,お茶,210
13,綾鷹,綾鷹,お茶,140
14,十六茶,十六茶,お茶,190
15,ウーロン茶,ウーロン茶,お茶,160
16,午後の紅茶リフレッシュティー,午後の紅茶リフレッシュティー,紅茶,180
17,午後の紅茶エスプレッソティーラテ,午後の紅茶エスプレッソティーラテ,紅茶,210
18,午後の紅茶ミルクティー,午後の紅茶ミルクティー,紅茶,180
19,午後の紅茶レモンティー,午後の紅茶レモンティー,紅茶,130
20,なっちゃんオレンジ,なっちゃんオレンジ,果汁飲料,200
21,小岩井純粋ぶどう,小岩井純粋ぶどう,果汁飲料,160
22,エビアン,エビアン,水,200
23,ビックル,ビックル,乳酸菌飲料,210
24,アクエリアス,アクエリアス,スポーツ飲料,180
