1,ブラックサンダー,ブラックサンダー,チョコレート,150
2,ガーナチョコレート,ガーナチョコレート,チョコレート,140
3,しみコーン,しみコーン,チョコレート,190
4,クランキー,クランキー,チョコレート,200
5,アルフォート,アルフォート,チョコレート,180
6,ジャガビー,ジャガビー,スナック,190
7,ポテロング,ポテロング,スナック,170
8,ポテトチップスコンソメ,ポテトチップスコンソメ,スナック,190
9,カール,カール,スナック,220
10,カラムーチョ,カラムーチョ,スナック,180
11,ハリボーグミ,ハリボーグミ,グミ,210
12,ポイフル,ポイフル,グミ,150
13,つぶグミ,つぶグミ,グミ,210
14,忍者めし,忍者めし,グミ,220
15,ピュレグミ,ピュレグミ,グミ,140
16,桃ゼリー,桃ゼリー,ゼリー,170
17,みかんゼリー,みかんゼリー,ゼリー,130
18,ブドウゼリー,ブドウゼリー,ゼリー,160
19,ミックスゼリー,ミックスゼリー,ゼリー,220
20,北海道バタークッキー,北海道バタークッキー,クッキー,180
21,おからクッキー,おからクッキー,クッキー,160
22,ふやきせんべい,ふやきせんべい,せんべい,200
23,ロッテグリーンガム,ロッテグリーンガム,ガム,200
24,チュッパチャップス,チュッパチャップス,飴玉,210
