1,ダース,ダース,チョコレート,100
2,ブラックサンダー,ブラックサンダー,チョコレート,160
3,アーモンドチョコレート,アーモンドチョコレート,チョコレート,130
4,マカダミアチョコレート,マカダミアチョコレート,チョコレート,180
5,ガーナチョコレート,ガーナチョコレート,チョコレート,150
6,ポテトチップスコンソメ,ポテトチップスコンソメ,スナック,180
7,ポテトチップス醤油バター,ポテトチップス醤油バター,スナック,120
8,じゃがりこ,じゃがりこ,スナック,200
9,ジャガビー,ジャガビー,スナック,150
10,ポテロング,ポテロング,スナック,200
11,コロロ,コロロ,グミ,170
12,フィットチーネグミ,フィットチーネグミ,グミ,200
13,サワーズグミ,サワーズグミ,グミ,130
14,果汁グミ,果汁グミ,グミ,180
15,ゴチグミ,ゴチグミ,グミ,120
16,ブドウゼリー,ブドウゼリー,ゼリー,170
17,びわゼリー,びわゼリー,ゼリー,160
18,蒟蒻畑,蒟蒻畑,ゼリー,140
19,ミックスゼリー,ミックスゼリー,ゼリー,190
20,カントリーマアム,カントリーマアム,クッキー,160
21,ムーンライト,ムーンライト,クッキー,140
22,エビせんべい,エビせんべい,せんべい,190
23,キシリトールガム,キシリトールガム,ガム,170
24,べっこう飴,べっこう飴,飴玉,190
