1,アーモンドチョコレート,アーモンドチョコレート,チョコレート,140
2,マカダミアチョコレート,マカダミアチョコレート,チョコレート,130
3,キットカット,キットカット,チョコレート,160
4,クランキー,クランキー,チョコレート,180
5,ガーナチョコレート,ガーナチョコレート,チョコレート,190
6,ピザポテト,ピザポテト,スナック,150
7,ポテトチップスコンソメ,ポテトチップスコンソメ,スナック,180
8,堅揚げポテト,かたあげポテト,スナック,210
9,カール,カール,スナック,180
10,ポテロング,ポテロング,スナック,130
11,ゴチグミ,ゴチグミ,グミ,200
12,ハリボーグミ,ハリボーグミ,グミ,120
13,ポイフル,ポイフル,グミ,170
14,コロロ,コロロ,グミ,150
15,フィットチーネグミ,フィットチーネグミ,グミ,190
16,ナタデココゼリー,ナタデココゼリー,ゼリー,210
17,ミックスゼリー,ミックスゼリー,ゼリー,140
18,みかんゼリー,みかんゼリー,ゼリー,200
19,桃ゼリー,桃ゼリー,ゼリー,190
20,ムーンライト,ムーンライト,クッキー,170
21,チョコチップクッキー,チョコチップクッキー,クッキー,210
22,ぬれせんべい,ぬれせんべい,せんべい,170
23,キシリトールガム,キシリトールガム,ガム,200
24,チュッパチャップス,チュッパチャップス,飴玉,160
