1,ボスとろけるカフェオレ,ボスとろけるカフェオレ,コーヒー,140
2,小岩井ミルクコーヒー,こいわいミルクコーヒー,コーヒー,220
3,ダイドーブレンド微糖,ダイドーブレンドびとう,コーヒー,170
4,ダイドーブレンドラテ,ダイドーブレンドラテ,コーヒー,150
5,ダイドーブレンドミルクコーヒー,ダイドーブレンドミルクコーヒー,コーヒー,220
6,ファンタグレープ,ファンタグレープ,炭酸飲料,200
7,オランジーナ,オランジーナ,炭酸飲料,170
8,三ツ矢ピーチ,みつやピーチ,炭酸飲料,220
9,コカコーラ,コカコーラ,炭酸飲料,190
10,カナダドライジンジャーエール,カナダドライジンジャーエール,炭酸飲料,150
11,爽健美茶,そうけんびちゃ,お茶,190
12,生茶,なまちゃ,お茶,210
13,綾鷹,あやたか,お茶,140
14,十六茶,じゅうろくちゃ,お茶,190
15,ウーロン茶,うーろんちゃ,お茶,160
16,午後の紅茶リフレッシュティー,ごごのこうちゃリフレッシュティー,紅茶,180
17,午後の紅茶エスプレッソティーラテ,ごごのこうちゃエスプレッソティーラテ,紅茶,210
18,午後の紅茶ミルクティー,ごごのこうちゃミルクティー,紅茶,180
19,午後の紅茶レモンティー,ごごのこうちゃレモンティー,紅茶,130
20,なっちゃんオレンジ,なっちゃんオレンジ,果汁飲料,200
21,小岩井純粋ぶどう,こいわいじゅんすいぶどう,果汁飲料,160
22,エビアン,エビアン,水,200
23,ビックル,ビックル,乳酸菌飲料,210
24,アクエリアス,アクエリアス,スポーツ飲料,180
